name,link,locations,credential
Accountancy,https://saskpolytech.ca/programs-and-courses/programs/Business-Diploma.aspx,See program page for details,Diploma
Accountancy and Computer Studies,https://saskpolytech.ca/programs-and-courses/programs/Accountancy-and-Computer-Studies.aspx,"Moose Jaw, Saskatoon",Post-Graduate Diploma
Accounting,https://saskpolytech.ca/programs-and-courses/programs/Accounting.aspx,Online/Distance,Certificate
Adult Teaching and Learning,https://saskpolytech.ca/programs-and-courses/programs/Adult-Teaching-and-Learning.aspx,"Moose Jaw, Prince Albert, Regina, Saskatoon",Advanced Certificate
Advanced Care Paramedic,https://saskpolytech.ca/programs-and-courses/programs/Advanced-Care-Paramedic.aspx,"Regina, Saskatoon",Diploma
Agribusiness Risk and Insurance Management,https://saskpolytech.ca/programs-and-courses/programs/Agribusiness-Risk-and-Insurance-Management.aspx,Moose Jaw,Post-Graduate Diploma
Agricultural Equipment Technician,https://saskpolytech.ca/programs-and-courses/programs/Agricultural-Equipment-Technician.aspx,Saskatoon,Certificate
Agriculture and Food Production,https://saskpolytech.ca/programs-and-courses/programs/Agriculture-and-Food-Production.aspx,Moose Jaw,Diploma
Agriculture Finance,https://saskpolytech.ca/programs-and-courses/programs/Agriculture-Finance.aspx,"Moose Jaw, Prince Albert, Saskatoon",Post-Graduate Diploma
Applied Esthetics,https://saskpolytech.ca/programs-and-courses/programs/Applied-Esthetics.aspx,Prince Albert,Certificate
Applied Project Management,https://saskpolytech.ca/programs-and-courses/programs/Applied-Project-Management.aspx,Online/Distance,Applied Certificate
Architectural Technologies,https://saskpolytech.ca/programs-and-courses/programs/Architectural-Technologies.aspx,Moose Jaw,Diploma
Artificial Intelligence and Data Analytics,https://saskpolytech.ca/programs-and-courses/programs/Artificial-Intelligence-and-Data-Analytics.aspx,"Regina, Saskatoon",Post-Graduate Certificate
Artificial Intelligence and Innovation,https://saskpolytech.ca/programs-and-courses/programs/Artificial-Intelligence-and-Innovation.aspx,Saskatoon,Post-Graduate Diploma
Autism Spectrum Disorder,https://saskpolytech.ca/programs-and-courses/programs/Autism-Spectrum-Disorder.aspx,Online/Distance,Certificate of Achievement
Auto Body Technician,https://saskpolytech.ca/programs-and-courses/programs/Auto-Body-Technician.aspx,"Regina, Saskatoon",Certificate
Automotive Painter,https://saskpolytech.ca/programs-and-courses/programs/Automotive-Painter.aspx,"Regina, Saskatoon",Applied Certificate
Automotive Service Technician,https://saskpolytech.ca/programs-and-courses/programs/Automotive-Service-Technician.aspx,"Moose Jaw, Saskatoon",Certificate
Bachelor of Applied Management,https://saskpolytech.ca/programs-and-courses/programs/Bachelor-of-Applied-Management.aspx,Regina,Degree
Bachelor of Construction Management,https://saskpolytech.ca/programs-and-courses/programs/Bachelor-of-Construction-Management.aspx,Regina,Degree
