name,address,cross_street_reference,ward,contact_name,phone,phone_extension,email,website
A & A Daycare Centre,"3380 Midland Ave, 22",Midland/Finch E.,Scarborough-Agincourt,Angela McAloney,416-298-4489,,,
Abacus Montessori Learning Centre,2723 St Clair Ave E,,Beaches-East York,Olive Somasunderam,416-285-8613,,,abacusmontessori.ca
Abiona Centre For Infant And Early Mental Health Elc Broadview Campus,1102 Broadview Ave,Broadview/Mortimer,Toronto-Danforth,Farwa Batool,437-328-2816,,,
Abiona Centre For Infant And Early Mental Health Elc Humewood Campus,40 Humewood Dr,Christie/St. Clair,Toronto-St. Paul's,Sue Sinclair,416-651-5657,226,,
Aboriginal Head Start - Epnigishmok,"20 Bansley Ave, Rm 119/120",,Toronto-St. Paul's,Amanda Macewen,416-639-9036,,,nativechild.org
Absorbent Minds (Op1756925 Ontario Inc.),16 Old Kingston Rd,Old Kingston Rd./Morningside,Scarborough-Rouge Park,Huma Esmail,416-284-6286,,,absorbentminds.ca
Absorbent Minds 2,20 Old Kingston Rd,Old Kingston Rd./Morningside,Scarborough-Rouge Park,Aisha Bhatti,647-515-6286,,,absorbentminds.ca
Absorbent Years Childcare (Montessori),2737 Bayview Ave,Bayview Ave/Macdonald-Cartier,Don Valley West,Imanthi De Bellefeuille,416-502-1769,,,montessoried.ca
Absorbent Years Childcare Inc,128 Fairview Mall Dr,Sheppard Ave E/Don Mills Rd,Don Valley North,Imanthi De Bellefeuille,416-502-1769,,,montessoried.ca
After Four Children's Enrichment Program,10 Japonica Rd,Ellesmere/Pharmacy,Scarborough Centre,Sabrina Pallotta,416-446-7398,,,aceafterfour.ca
Agape Christian Montessori School (2236800 Ontario Inc.),301 Silver Star Blvd,Midland Ave/McNicoll Ave,Scarborough-Agincourt,Corie Tse,647-717-1800,,,agapecms.com
Agile Innovators Montessori,390 Bamburgh Cir,,Scarborough-Agincourt,Shena Xie,647-812-0520,,,aimontessori.ca
Agincourt Montessori School Inc.,2575 Midland Ave,Midland/Sheppard E.,Scarborough North,Kiera Thompson,416-291-0726,,,agincourtmontessori.org
Agincourt Temple Day Care(Governing Council Of The Salvation Army),3080 Birchmount Rd,Birchmount/Finch E.,Scarborough-Agincourt,Margaret Wong,416-497-0329,230,,
Air-O-Down Child Care Centre,7 Hawksdale Rd,Wilson/Keele,York Centre,Toni Tolomeo-Locantore,416-633-2014,,,
Albion Early Learning  & Child Care Centre,1545 Albion Rd,Albion/Kipling,Etobicoke North,Rosanna Taraborrelli,416-392-5083,,,toronto.ca/children/telccs
Albion Heights School Age YMCA,45 Lynmont Rd,Finch W./Martingrove,Etobicoke North,Susan Clarke,416-744-4265,,,ymcatoronto.org
Alderwood Action After School,544 Horner Ave,Horner/Browns Line,Etobicoke-Lakeshore,Reena Somani,416-259-7738,,,
Alexander Muir Gladstone Jr YMCA,108 Gladstone Ave,Queen W./Dufferin,Davenport,Sandra Santos,416-534-8454,,,
Alexandra Park Early Learning & Child Care Centre,75 Augusta Sq,Dundas/Spadina,Spadina-Fort York,Sonia Chavez A.,416-392-5515,,,toronto.ca/children/telccs
Alive Montessori & Private School,2 Wembley Rd,Eglinton Ave W/Bathurst,Eglinton-Lawrence,Krisztina Toth,416-602-1151,,, alivemontessori.com
All About Kids Inc. (1055 Gerrard Street East),1055 Gerrard St E,Gerrard/Jones,Toronto-Danforth,Samia Labib,416-463-5437,,,allaboutkids.ca
All About Kids Sheppard,"2005 Sheppard Ave E, Suite 115",Sheppard E./Victoria Park,Don Valley North,Kelsey Maccrimmon,416-496-3232,,,allaboutkids.ca
Allenby Day Care,391 St Clements Ave,Eglinton W./Avenue Rd.,Eglinton-Lawrence,Carol Mayne,416-487-7108,,,
All My Children Child Care,1590 Sandhurst Circle,Finch E./McCowan,Scarborough North,Wendy Chen,416-291-9200,,,allmychildrencc.ca
Alphabet Academy,111 Manor Rd E,,Toronto-St. Paul's,Jessica Lipinski,416-219-9021,,,alphabetacademy.ca
Alphabet Station,2206 Queen St E,,Beaches-East York,Kassandra Long,416-402-4702,,,alphabetstation.ca
Alphabet Treehouse Childcare Centre,1780 Avenue Rd,Avenue Rd/Wilson Ave,Eglinton-Lawrence,Elina Kompaniyets,416-548-7891,,,alphabettreehouse.com
Alternative Primary School Parent Group,1100 Spadina Rd,Spadina/Eglinton W.,Eglinton-Lawrence,Debra Deonarine,416-322-5385,,,apsdaycare.com
